model,pretrained,corruption,severity,prompt_id,prompt_template,method,n_samples,accuracy,ece,nll,brier,aurc,risk_at_80,elapsed_seconds,seed
ViT-B-32,openai,clean,0,p00,a photo of a {label}.,single,10000,0.883,0.04880300700962538,0.37827813809289285,0.1747976270722029,0.02096762009536479,0.038625,23.1122,20260723
ViT-B-32,openai,clean,0,p01,a photograph depicting {label}.,single,10000,0.8943,0.07859215523004529,0.3676201949555252,0.166218272801842,0.018851728465204685,0.032375,23.1122,20260723
ViT-B-32,openai,clean,0,p02,an image of the object {label}.,single,10000,0.8948,0.10850460482239721,0.40772609124334636,0.17959311567685915,0.02157011293545877,0.039625,23.1122,20260723
ViT-B-32,openai,clean,0,p03,a picture showing {label}.,single,10000,0.8914,0.05602420295476913,0.35816394374985844,0.16546445284492634,0.018963765564608447,0.03425,23.1122,20260723
ViT-B-32,openai,clean,0,p04,this image shows {label}.,single,10000,0.8909,0.06309007680416107,0.36497454267648577,0.16736339628462096,0.019184474259053952,0.034875,23.1122,20260723
ViT-B-32,openai,clean,0,p05,the main subject in this image is {label}.,single,10000,0.8893,0.10769852998554708,0.41130952918187,0.1820256646746986,0.02074963167605821,0.036875,23.1122,20260723
ViT-B-32,openai,clean,0,p06,the object depicted here is {label}.,single,10000,0.8868,0.13538133891224863,0.45368195198771566,0.19411494919058195,0.020780605719753542,0.0385,23.1122,20260723
ViT-B-32,openai,clean,0,p07,a visual representation of {label}.,single,10000,0.8772,0.11093469336479903,0.45838692547821736,0.19931245840267703,0.024418723411327888,0.04525,23.1122,20260723
ViT-B-32,openai,clean,0,p08,an example image of the class {label}.,single,10000,0.8661,0.12354948932677506,0.518029338332845,0.22955368227722953,0.03296486872537282,0.06025,23.1122,20260723
ViT-B-32,openai,clean,0,p09,this picture contains {label}.,single,10000,0.8856,0.10112973634004592,0.41953144647281204,0.1856071303556237,0.02307049248010629,0.039,23.1122,20260723
ViT-B-32,openai,clean,0,p10,a natural image containing {label}.,single,10000,0.8816,0.06201257598549126,0.4013102315398214,0.18047376821904176,0.022416145278652655,0.03875,23.1122,20260723
ViT-B-32,openai,clean,0,p11,"{label}, shown in a photograph.",single,10000,0.8891,0.07545500387400386,0.3839242662441707,0.1761679523409138,0.02237736787709949,0.041625,23.1122,20260723
ViT-B-32,openai,clean,0,ensemble,mean probability across all frozen prompts,ensemble,10000,0.8965,0.10484419056028128,0.39260868474747795,0.1718152747015286,0.018904192517206996,0.03325,23.1122,20260723
