model,pretrained,held_out_corruption,selected_prompt_id,selected_is_pareto,matches_all_corruption_selection
RN50,openai,brightness,p10,True,True
RN50,openai,contrast,p10,True,True
RN50,openai,defocus_blur,p10,True,True
RN50,openai,elastic_transform,p10,True,True
RN50,openai,fog,p10,True,True
RN50,openai,frost,p10,True,True
RN50,openai,gaussian_noise,p06,True,False
RN50,openai,glass_blur,p10,True,True
RN50,openai,impulse_noise,p10,True,True
RN50,openai,jpeg_compression,p10,True,True
RN50,openai,motion_blur,p10,True,True
RN50,openai,pixelate,p10,True,True
RN50,openai,shot_noise,p06,True,False
RN50,openai,snow,p10,True,True
RN50,openai,zoom_blur,p10,True,True
ViT-B-32,openai,brightness,p03,True,True
ViT-B-32,openai,contrast,p03,True,True
ViT-B-32,openai,defocus_blur,p03,True,True
ViT-B-32,openai,elastic_transform,p03,True,True
ViT-B-32,openai,fog,p03,True,True
ViT-B-32,openai,frost,p03,True,True
ViT-B-32,openai,gaussian_noise,p03,True,True
ViT-B-32,openai,glass_blur,p03,True,True
ViT-B-32,openai,impulse_noise,p03,True,True
ViT-B-32,openai,jpeg_compression,p03,True,True
ViT-B-32,openai,motion_blur,p03,True,True
ViT-B-32,openai,pixelate,p03,True,True
ViT-B-32,openai,shot_noise,p03,True,True
ViT-B-32,openai,snow,p03,True,True
ViT-B-32,openai,zoom_blur,p03,True,True
